dataset_id,dataset_name,description,year,scenario,link,source_reference,access,access_status,licence_spdx,n_audio_samples,n_participants,n_assessments,total_duration_min,scale,modality_availability,audio_format,audio_ambisonics_available,audio_ambisonics_bit_depth,audio_ambisonics_sampling_rate_hz,audio_ambisonics_order,audio_ambisonics_clip_duration_s,audio_binaural_available,audio_binaural_bit_depth,audio_binaural_sampling_rate_hz,audio_binaural_clip_duration_s,audio_monaural_available,audio_monaural_clip_duration_s,visual_available,visual_format,visual_resolution,visual_frame_rate_fps,visual_clip_duration_s,annotation_framework,perceptual_framework,experimental_setting,rating_scale_information,recording_protocol,reproduction_protocol,acoustic_data_available,acoustic_measuring_instrument,environmental_data_available,metadata_availability,known_limitations,schema_version,provenance
ISD,International Soundscape Database (ISD),The International Soundscape Database contains the results of a series of soundscape assessment campaigns carried out across Europe and China.,2022,Urban,https://zenodo.org/records/10672568,https://zenodo.org/records/10672568,Fully,Fully,Unknown,2500,3500,3500,300.0,2500 audio samples; 3500 participants; 3500 assessments,audio; visual; acoustic_metrics; environmental_context,ambisonics; binaural; monaural,True,24,44100,1,900.0,True,24,44100,30.0,True,3600.0,True,Video,4K,30,900.0,ISO/TS 12913-2:2018,ISO/TS 12913-2:2018,On-site,ISO 12913 PAQ; scale information preserved or documented at dataset/resource level.,Urban recordings; audio=ambisonics; binaural; monaural; visual=Video,On-site,True,Sound Level Meter,True,partial_catalogue_metadata,Included in MOSAIQ reference packaging; full benchmark splits and statistical harmonisation are future work.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
ARAUS,Affective Responses to Augmented Urban Soundscapes (ARAUS),"ARAUS is a large‐scale benchmark dataset comprising 25,440 unique subjective responses to 30‐second audio-visual stimuli of augmented urban soundscapes. The dataset is organized as a five-fold cross-validation set plus an independent test set, and was collected in accordance with ISO/TS 12913-2:2018.",2024,Urban,https://researchdata.ntu.edu.sg/dataset.xhtml?persistentId=doi:10.21979/N9/9OTEVX,https://researchdata.ntu.edu.sg/dataset.xhtml?persistentId=doi:10.21979/N9/9OTEVX,Fully,Fully,Unknown,25440,642,25440,12720.0,25440 audio samples; 642 participants; 25440 assessments,audio; visual; acoustic_metrics,binaural,False,,,,,True,24,44100,30.0,False,,True,360 Video,4K,30,30.0,ISO/TS 12913-2:2018,ISO/TS 12913-2:2018,Lab-based,ISO 12913 PAQ; scale information preserved or documented at dataset/resource level.,Urban recordings; audio=binaural; visual=360 Video,Lab-based,True,Sound Level Meter,False,partial_catalogue_metadata,Included in MOSAIQ reference packaging; full benchmark splits and statistical harmonisation are future work.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
ATHUS,Athens Urban Soundscape (ATHUS),"ATHUS is a dataset of audio recordings of ambient urban sounds, which has been annotated in terms of the corresponding perceived soundscape quality.",2019,Urban,https://users.iit.demokritos.gr/~tyianak/soundscape/,https://users.iit.demokritos.gr/~tyianak/soundscape/,Partially,Partially,Unknown,978,10,978,440.0,978 audio samples; 10 participants; 978 assessments,audio,binaural,False,,,,,True,24,44100,30.0,False,,False,,,,,Soundscape perception quality in range of 1 to 5 (level of “pleasantness”),Soundscape perception quality in range of 1 to 5 (level of “pleasantness”),Lab-based,Soundscape perception quality in range of 1 to 5 (level of “pleasantness”),Urban recordings; audio=binaural; visual=none,Lab-based,False,,False,partial_catalogue_metadata,Catalogue-level metadata only; clip-level curation and benchmark readiness not yet implemented.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
IADS2,IADS-2,The IADS-2 dataset is a standardised collection of 167 six-second natural sounds widely used in emotional research,2007,Various,,,Partially,Partially,Unknown,167,716,,16.7,167 audio samples; 716 participants,audio,binaural,False,,,,,True,,44100,6.0,False,,False,,,,,"SAM (Self-Assessment Manikin: Valence, Arousal, Dominance)","SAM (Self-Assessment Manikin: Valence, Arousal, Dominance)",Lab-based,SAM affective ratings; not mapped onto ISO 12913 in current schema-level harmonisation.,Various recordings; audio=binaural; visual=none,Lab-based,False,,False,partial_catalogue_metadata,Catalogue-level metadata only; clip-level curation and benchmark readiness not yet implemented.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
IADSE,IADS-E,"An expanded version of the International Affective Digitized Sounds (IADS-E), an extensive auditory stimulus collection designed to facilitate research on emotional and affective responses to sound.",2018,Various,https://sites.google.com/view/iads-e/,https://sites.google.com/view/iads-e/,Partially,Partially,Unknown,935,207,21528,93.0,935 audio samples; 207 participants; 21528 assessments,audio,binaural,False,,,,,True,,44100,6.0,False,,False,,,,,"SAM (Self-Assessment Manikin: Valence, Arousal, Dominance)","SAM (Self-Assessment Manikin: Valence, Arousal, Dominance)",Lab-based,SAM affective ratings; not mapped onto ISO 12913 in current schema-level harmonisation.,Various recordings; audio=binaural; visual=none,Lab-based,False,,False,partial_catalogue_metadata,Catalogue-level metadata only; clip-level curation and benchmark readiness not yet implemented.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
EMO_SOUNDSCAPES,Emo-soundscapes,"The Emo-soundscapes dataset contains 1,213 soundscapes, each 6 seconds long, generated using individual audio clips from Freesound with affective labels.",2017,Various,https://www.metacreation.net/projects/emo-soundscapes,https://www.metacreation.net/projects/emo-soundscapes,Fully,Fully,Unknown,1213,1182,69477,121.0,1213 audio samples; 1182 participants; 69477 assessments,audio,ambisonics; binaural; monaural,True,,,,,True,,44100,6.0,True,,False,,,,,Valence–Arousal ratings (continuous affective space),Valence–Arousal ratings (continuous affective space),Online,Valence–Arousal ratings (continuous affective space),Various recordings; audio=ambisonics; binaural; monaural; visual=none,Online,False,,False,partial_catalogue_metadata,Catalogue-level metadata only; clip-level curation and benchmark readiness not yet implemented.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
HSDD,HSDD,"The University of Applied Sciences D¨ usseldorf dataset (HSDD) is an extensive crowdsourced dataset of in-situ evaluated indoor soundscapes of private dwellings, containing binaural recordings, subjective soundscape ratings, and rich situational and person-related variables collected via Experience Sampling Method.",,Indoor,https://doi.org/10.5281/zenodo.7858848,https://doi.org/10.5281/zenodo.7858848,Partially,Partially,Unknown,6594,105,6549,1648.5,6594 audio samples; 105 participants; 6549 assessments,audio; acoustic_metrics; environmental_context,binaural,False,,,,,True,,,15.0,False,,False,,,,,ISO/TS 12913-2:2018,ISO/TS 12913-2:2018,On-site,ISO 12913 PAQ; scale information preserved or documented at dataset/resource level.,Indoor recordings; audio=binaural; visual=none,On-site,True,Low self-noise binaural recording device; post-processed with HEAD acoustics Artemis,True,partial_catalogue_metadata,Catalogue-level metadata only; clip-level curation and benchmark readiness not yet implemented.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
DeLTA,DeLTA,"The Deep Learning Techniques for noise Annoyance detection (DeLTA) dataset comprises 2,980 15-second binaural audio recordings collected in urban public spaces across London, Venice, Granada, and Groningen (derived from the International Soundscape Database).",2022,Urban,https://zenodo.org/records/7158057,https://zenodo.org/records/7158057,Fully,Fully,CC-BY-4.0,2980,1221,12210,745.0,2980 audio samples; 1221 participants; 12210 assessments,audio,binaural,False,,,,,True,24,48000,15.0,False,,False,,,,,Annoyance rating (1-10) and 24 sound-source labels,Annoyance rating (1-10) and 24 sound-source labels,Online,Annoyance rating (1-10) and 24 sound-source labels,Urban recordings; audio=binaural; visual=none,Online,False,,False,partial_catalogue_metadata,Included in MOSAIQ reference packaging; full benchmark splits and statistical harmonisation are future work.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
SATP,SATP,The Soundscape Attributes Translation Project (SATP) dataset contains 27 30-second binaural urban soundscape recordings and thousands of multilingual ISO 12913 Method A perceptual responses.,2022,Urban,https://zenodo.org/records/7143599,https://zenodo.org/records/7143599,Fully,Fully,CC-BY-4.0,27,645,17441,13.5,27 audio samples; 645 participants; 17441 assessments,audio,binaural,False,,,,,True,24,48000,30.0,False,,False,,,,,ISO/TS 12913-2:2018,ISO/TS 12913-2:2018,Lab-based,ISO 12913 Method A PAQ; original SATP scale 0-100 retained; derived MOSAIQ 1-5 values documented separately.,Urban recordings; audio=binaural; visual=none,Lab-based,False,,False,partial_catalogue_metadata,Included in MOSAIQ reference packaging; full benchmark splits and statistical harmonisation are future work.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
HONG2021,Hong et al.'s dataset,"Mixed-reality soundscape dataset combining in-situ urban traffic sounds with visual holograms of natural sound sources, evaluated for overall soundscape quality and preference.",2021,Urban,https://doi.org/10.21979/N9/KE0901,https://doi.org/10.21979/N9/KE0901,Partially,Partially,Unknown,264,33,528,792.0,264 audio samples; 33 participants; 528 assessments,audio; visual,binaural,False,,,,,True,,44100,180.0,False,,True,Images,,,180.0,Overall Soundscape Quality (OSQ) and soundscape preference (11-point scales),Overall Soundscape Quality (OSQ) and soundscape preference (11-point scales),On-site,Overall Soundscape Quality (OSQ) and soundscape preference (11-point scales),Urban recordings; audio=binaural; visual=Images,On-site,False,,False,partial_catalogue_metadata,Catalogue-level metadata only; clip-level curation and benchmark readiness not yet implemented.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
