clip_id,dataset_id,LocationID,SessionID,GroupID,latitude,longitude,binaural_start_s,binaural_end_s,audio_asset,video_asset,split,licence_spdx,n_responses,mean_PAQ1_pleasant,mean_PAQ2_vibrant,mean_PAQ3_eventful,mean_PAQ4_chaotic,mean_PAQ5_annoying,mean_PAQ6_monotonous,mean_PAQ7_uneventful,mean_PAQ8_calm,mean_ISOPleasant,mean_ISOEventful,LAeq_dBA,loudness_N_sone,sharpness_S_acum,roughness_R_asper,fluctuation_strength_F_vacil,tonality_T_tu
ISD_CamdenTown_CamdenTown1_CT101,ISD,CamdenTown,CamdenTown1,CT101,51.539124,-0.142624,0.0,31.57,ISD_CamdenTown_CT101_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,3,3.0,2.667,3.0,3.667,3.333,3.0,1.667,1.333,-0.2298,0.2846,69.93,30.8,2.09,0.0363,0.0177,0.304
ISD_CamdenTown_CamdenTown1_CT102,ISD,CamdenTown,CamdenTown1,CT102,51.539124,-0.142624,0.0,32.47,ISD_CamdenTown_CT102_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,1,4.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,0.1036,-0.75,70.6,33.2,2.14,0.043,0.0176,0.252
ISD_CamdenTown_CamdenTown1_CT103,ISD,CamdenTown,CamdenTown1,CT103,51.539124,-0.142624,0.0,35.16,ISD_CamdenTown_CT103_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,1,3.0,5.0,4.0,4.0,2.0,1.0,1.0,2.0,0.25,0.75,66.36,24.6,1.98,0.0367,0.00858,0.184
ISD_CamdenTown_CamdenTown1_CT104,ISD,CamdenTown,CamdenTown1,CT104,51.539124,-0.142624,0.0,31.96,ISD_CamdenTown_CT104_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,1,2.0,5.0,4.0,4.0,2.0,2.0,1.0,2.0,0.0732,0.6768,72.4,38.6,2.37,0.0416,0.0147,0.202
ISD_CamdenTown_CamdenTown1_CT105,ISD,CamdenTown,CamdenTown1,CT105,51.539124,-0.142624,0.0,,ISD_CamdenTown_CT105_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,2,3.5,3.5,3.0,3.0,3.0,2.5,3.5,3.5,0.1616,-0.0152,,,,,,
ISD_CamdenTown_CamdenTown1_CT106,ISD,CamdenTown,CamdenTown1,CT106,51.539124,-0.142624,0.0,,ISD_CamdenTown_CT106_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,1,2.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,-0.2071,0.0858,,,,,,
ISD_CamdenTown_CamdenTown1_CT107,ISD,CamdenTown,CamdenTown1,CT107,51.539124,-0.142624,0.0,31.32,ISD_CamdenTown_CT107_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,1,4.0,4.0,3.0,4.0,4.0,1.0,3.0,2.0,0.0732,0.3661,68.11,29.3,2.03,0.0376,0.023,0.262
ISD_CamdenTown_CamdenTown1_CT108,ISD,CamdenTown,CamdenTown1,CT108,51.539124,-0.142624,0.0,27.26,ISD_CamdenTown_CT108_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,-0.1464,0.1464,70.57,33.9,2.22,0.0403,0.0142,0.176
ISD_CamdenTown_CamdenTown1_CT109,ISD,CamdenTown,CamdenTown1,CT109,51.539124,-0.142624,0.0,31.53,ISD_CamdenTown_CT109_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,3,3.333,3.333,4.333,4.667,2.667,2.0,2.0,1.667,-0.0531,0.5589,69.63,30.0,2.08,0.0409,0.0248,0.26
ISD_CamdenTown_CamdenTown1_CT110,ISD,CamdenTown,CamdenTown1,CT110,51.539124,-0.142624,0.0,31.66,ISD_CamdenTown_CT110_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,1,3.0,1.0,3.0,1.0,4.0,2.0,1.0,3.0,-0.0303,-0.0126,68.7,33.8,2.1,0.0376,0.018,0.173
ISD_CamdenTown_CamdenTown1_CT111,ISD,CamdenTown,CamdenTown1,CT111,51.539124,-0.142624,0.0,,ISD_CamdenTown_CT111_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,2,1.5,2.5,1.0,4.5,4.0,4.5,4.0,3.0,-0.5152,-0.3473,,,,,,
ISD_CamdenTown_CamdenTown1_CT112,ISD,CamdenTown,CamdenTown1,CT112,51.539124,-0.142624,0.0,33.71,ISD_CamdenTown_CT112_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,2,2.0,4.0,4.5,5.0,2.5,2.0,1.5,1.5,-0.1616,0.7134,69.74,34.3,2.03,0.0371,0.0137,0.278
ISD_CamdenTown_CamdenTown1_CT113,ISD,CamdenTown,CamdenTown1,CT113,51.539124,-0.142624,0.0,20.64,ISD_CamdenTown_CT113_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,2,4.0,4.5,3.5,2.5,2.5,1.5,3.5,1.5,0.3018,0.2929,69.05,30.4,2.27,0.0384,0.00624,0.534
ISD_CamdenTown_CamdenTown1_CT114,ISD,CamdenTown,CamdenTown1,CT114,51.539124,-0.142624,0.0,25.0,ISD_CamdenTown_CT114_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,1,2.0,4.0,5.0,4.0,3.0,2.0,1.0,1.0,-0.1768,0.7803,65.89,25.2,1.9,0.0351,0.00912,0.155
