clip_id,dataset_id,fold_r,split,soundscape,masker,smr_db,is_common_stimulus,audio_asset,video_asset,video_asset_id,start_s,end_s,licence_spdx,n_responses,mean_PAQ1_pleasant,mean_PAQ2_vibrant,mean_PAQ3_eventful,mean_PAQ4_chaotic,mean_PAQ5_annoying,mean_PAQ6_monotonous,mean_PAQ7_uneventful,mean_PAQ8_calm,mean_appropriate,mean_ISOPleasant,mean_ISOEventful,LAeq_dBA,loudness_N_sone,sharpness_S_acum,roughness_R_asper,fluctuation_strength_F_vacil,tonality_T_tu
ARAUS_000001,ARAUS,-1,aux,R0091_segment_binaural_44100_1.wav,silence_00001.wav,0,True,,R0091_360,R0091_360,0.0,30.0,Other,360,3.2055555555555557,3.8833333333333333,3.9138888888888888,3.191666666666667,2.6972222222222224,2.033333333333333,2.061111111111111,2.1416666666666666,3.4027777777777777,0.11121828611111112,0.40420899722222225,73.47,30.9,1.37,0.0378,0.0328,1.37
ARAUS_000002,ARAUS,-1,aux,R0091_segment_binaural_44100_1.wav,silence_00002.wav,0,True,,R0091_360,R0091_360,0.0,30.0,Other,360,2.9972222222222222,3.863888888888889,3.9166666666666665,3.2305555555555556,2.852777777777778,2.0444444444444443,2.088888888888889,2.063888888888889,3.4305555555555554,0.0627562638888889,0.40792548888888885,73.47,30.9,1.37,0.0378,0.0328,1.37
ARAUS_000003,ARAUS,-1,aux,R0091_segment_binaural_44100_1.wav,silence_00003.wav,0,True,,R0091_360,R0091_360,0.0,30.0,Other,360,3.175,3.936111111111111,3.936111111111111,3.275,2.783333333333333,2.0944444444444446,2.0027777777777778,2.1416666666666666,3.513888888888889,0.09242490277777778,0.41804255277777774,73.47,30.9,1.37,0.0378,0.0328,1.37
ARAUS_000004,ARAUS,-1,aux,R0091_segment_binaural_44100_1.wav,silence_00004.wav,0,True,,R0091_360,R0091_360,0.0,30.0,Other,360,3.1555555555555554,3.8777777777777778,3.9611111111111112,3.1666666666666665,2.808333333333333,1.9972222222222222,2.0555555555555554,2.058333333333333,3.488888888888889,0.09250071388888889,0.4161830777777778,73.47,30.9,1.37,0.0378,0.0328,1.37
ARAUS_000005,ARAUS,-1,aux,R0091_segment_binaural_44100_1.wav,silence_00005.wav,0,True,,R0091_360,R0091_360,0.0,30.0,Other,360,3.0972222222222223,3.8555555555555556,3.8583333333333334,3.2333333333333334,2.8027777777777776,1.9722222222222223,2.033333333333333,2.077777777777778,3.4611111111111112,0.0837810138888889,0.41150241944444443,73.47,30.9,1.37,0.0378,0.0328,1.37
ARAUS_000006,ARAUS,-1,aux,R0091_segment_binaural_44100_1.wav,silence_10001.wav,0,True,,R0091_360,R0091_360,0.0,30.0,Other,15,3.066666666666667,4.066666666666666,4.2,3.7333333333333334,3.0,1.8666666666666667,1.8,1.8,3.533333333333333,0.02642973333333333,0.5511845333333334,73.47,30.9,1.37,0.03779999999999999,0.0328,1.37
ARAUS_000007,ARAUS,0,test,R1001_segment_binaural_44100.wav,bird_10001.wav,0,False,,R1001_360,R1001_360,0.0,30.0,Other,5,2.8,2.0,2.6,3.6,3.6,3.2,2.0,2.2,3.0,-0.2732232,0.0767766,61.95,15.2,1.53,0.029000000000000005,0.021,0.268
ARAUS_000008,ARAUS,0,test,R1001_segment_binaural_44100.wav,bird_10002.wav,0,False,,R1001_360,R1001_360,0.0,30.0,Other,5,2.2,2.8,2.8,3.6,4.0,3.0,3.0,2.0,3.6,-0.318198,0.0818022,60.36999999999999,14.6,1.49,0.026600000000000002,0.0119,0.252
ARAUS_000009,ARAUS,0,test,R1001_segment_binaural_44100.wav,construction_10001.wav,0,False,,R1001_360,R1001_360,0.0,30.0,Other,5,2.0,2.4,3.0,3.8,3.8,3.6,2.2,2.2,4.0,-0.3914212,0.11213199999999998,61.95,16.5,1.46,0.028000000000000004,0.00936,0.23700000000000002
ARAUS_000010,ARAUS,0,test,R1001_segment_binaural_44100.wav,silence_10001.wav,0,False,,R1001_360,R1001_360,0.0,30.0,Other,5,2.2,2.0,3.0,3.2,3.6,3.8,2.8,2.0,4.0,-0.3646446,-0.023223399999999995,59.33,14.1,1.47,0.026500000000000003,0.00829,0.258
