response_id,clip_id,participant_id,fold_r,stimulus_index,time_taken_s,is_attention,language,age,gender,PAQ1_pleasant,PAQ2_vibrant,PAQ3_eventful,PAQ4_chaotic,PAQ5_annoying,PAQ6_monotonous,PAQ7_uneventful,PAQ8_calm,appropriate,ISOPleasant,ISOEventful,LAeq_dBA,loudness_N_sone,sharpness_S_acum,roughness_R_asper,fluctuation_strength_F_vacil,tonality_T_tu
ARAUS_ARAUS_00001_S01,ARAUS_000001,ARAUS_00001,-1,1,98.328,0,1,28,0,5,4,4,2,2,2,2,4,3,0.603553,0.207107,73.47,30.9,1.37,0.0378,0.0328,1.37
ARAUS_ARAUS_00001_S02,ARAUS_002075,ARAUS_00001,1,2,77.446,0,1,28,0,5,3,2,2,2,4,4,5,4,0.457107,-0.5,57.99,12.9,1.68,0.0235,0.00923,0.0631
ARAUS_ARAUS_00001_S03,ARAUS_001804,ARAUS_00001,1,3,67.102,0,1,28,0,4,2,2,2,2,2,3,4,2,0.353553,-0.25,69.17,24.3,2.23,0.025,0.0104,0.37
ARAUS_ARAUS_00001_S04,ARAUS_001193,ARAUS_00001,1,4,56.64,0,1,28,0,5,3,4,2,2,4,3,5,3,0.457107,-0.18934,56.13,11.8,1.31,0.0235,0.0124,0.116
ARAUS_ARAUS_00001_S05,ARAUS_002960,ARAUS_00001,1,5,51.311,0,1,28,0,5,3,4,2,2,3,3,5,4,0.53033,-0.116117,69.95,24.0,1.21,0.0596,0.0115,0.253
ARAUS_ARAUS_00001_S06,ARAUS_004110,ARAUS_00001,1,6,59.45,0,1,28,0,4,2,2,2,1,4,4,4,1,0.31066,-0.5,50.23,6.71,1.23,0.0233,0.00668,0.035
ARAUS_ARAUS_00001_S07,ARAUS_003270,ARAUS_00001,1,7,59.823,0,1,28,0,4,2,4,4,2,2,2,4,2,0.207107,0.207107,72.56,30.4,1.35,0.0416,0.0154,0.0818
ARAUS_ARAUS_00001_S08,ARAUS_002509,ARAUS_00001,1,8,47.383,0,1,28,0,5,3,4,2,3,3,3,4,4,0.353553,-0.042893,62.34,15.5,1.28,0.0322,0.0251,0.303
ARAUS_ARAUS_00001_S09,ARAUS_003773,ARAUS_00001,1,9,66.441,0,1,28,0,4,4,4,4,4,3,3,4,3,0.073223,0.176777,68.34,22.9,1.42,0.0504,0.0163,0.347
ARAUS_ARAUS_00001_S10,ARAUS_004018,ARAUS_00001,1,10,56.624,0,1,28,0,2,2,4,4,5,3,2,1,1,-0.603553,0.353553,50.9,6.71,1.22,0.0242,0.0102,0.219
ARAUS_ARAUS_00001_S11,ARAUS_002032,ARAUS_00001,1,11,43.783,0,1,28,0,4,3,4,4,4,3,2,2,3,-0.146447,0.353553,59.69,13.4,1.68,0.0243,0.0285,0.138
ARAUS_ARAUS_00001_S12,ARAUS_000967,ARAUS_00001,1,12,48.688,0,1,28,0,4,3,3,4,2,4,4,4,5,0.133883,-0.176777,53.48,8.72,1.89,0.0142,0.0173,0.0659
ARAUS_ARAUS_00001_S13,ARAUS_001760,ARAUS_00001,1,13,51.88,0,1,28,0,2,4,4,5,4,2,2,2,1,-0.28033,0.573223,66.79,21.4,1.64,0.0276,0.0171,0.771
ARAUS_ARAUS_00001_S14,ARAUS_001042,ARAUS_00001,1,14,58.695,0,1,28,0,4,2,4,2,2,4,4,4,3,0.207107,-0.292893,55.9,10.7,2.01,0.0161,0.0105,0.0136
ARAUS_ARAUS_00001_S15,ARAUS_004194,ARAUS_00001,1,15,62.248,0,1,28,0,4,2,3,2,1,4,4,4,3,0.31066,-0.396447,50.0,6.74,1.15,0.023,0.0107,0.218
ARAUS_ARAUS_00001_S16,ARAUS_003181,ARAUS_00001,1,16,54.216,0,1,28,0,4,3,4,2,4,4,3,3,3,0.0,-0.042893,68.85,25.5,1.52,0.0351,0.0144,0.256
ARAUS_ARAUS_00001_S17,ARAUS_003729,ARAUS_00001,1,17,51.622,0,1,28,0,2,2,5,5,4,4,4,4,2,-0.426777,0.03033,70.21,27.0,1.99,0.0436,0.0138,0.273
ARAUS_ARAUS_00001_S18,ARAUS_003151,ARAUS_00001,1,18,61.536,0,1,28,0,3,2,4,4,4,4,2,2,4,-0.396447,0.207107,69.49,24.4,1.22,0.0427,0.0153,0.278
ARAUS_ARAUS_00001_S19,ARAUS_003646,ARAUS_00001,1,19,53.736,0,1,28,0,3,2,4,4,4,4,2,2,5,-0.396447,0.207107,66.18,19.9,1.3,0.0388,0.00963,0.104
ARAUS_ARAUS_00001_S20,ARAUS_000001,ARAUS_00001,-1,20,60.768,1,1,28,0,3,3,3,3,3,3,3,3,3,0.0,0.0,73.47,30.9,1.37,0.0378,0.0328,1.37
ARAUS_ARAUS_00001_S21,ARAUS_003017,ARAUS_00001,1,21,54.311,0,1,28,0,4,2,4,2,2,4,3,4,3,0.207107,-0.18934,65.09,18.2,1.11,0.0367,0.0186,0.158
ARAUS_ARAUS_00001_S22,ARAUS_003452,ARAUS_00001,1,22,57.327,0,1,28,0,4,4,3,2,3,3,2,4,4,0.323223,0.03033,56.32,10.3,1.43,0.0227,0.00904,0.178
ARAUS_ARAUS_00001_S23,ARAUS_001695,ARAUS_00001,1,23,65.625,0,1,28,0,4,2,3,4,4,2,2,2,1,-0.146447,0.25,69.31,23.4,1.57,0.0357,0.00889,0.0439
ARAUS_ARAUS_00001_S24,ARAUS_002466,ARAUS_00001,1,24,43.863,0,1,28,0,4,4,4,2,2,2,2,4,3,0.5,0.207107,60.93,14.5,1.31,0.0307,0.0327,0.227
ARAUS_ARAUS_00001_S25,ARAUS_003143,ARAUS_00001,1,25,64.257,0,1,28,0,4,4,4,4,2,2,2,4,4,0.353553,0.353553,68.17,22.5,1.18,0.0425,0.0144,0.325
ARAUS_ARAUS_00001_S26,ARAUS_000495,ARAUS_00001,1,26,50.512,0,1,28,0,4,4,4,2,2,2,2,4,3,0.5,0.207107,61.69,17.3,1.33,0.0301,0.0126,0.0791
ARAUS_ARAUS_00001_S27,ARAUS_000950,ARAUS_00001,1,27,49.167,0,1,28,0,4,2,2,2,2,4,4,4,4,0.207107,-0.5,53.61,9.46,1.6,0.0212,0.0069,0.014
ARAUS_ARAUS_00001_S28,ARAUS_003114,ARAUS_00001,1,28,67.398,0,1,28,0,4,2,4,3,2,3,2,2,3,0.06066,0.207107,71.44,24.1,1.19,0.0528,0.266,0.327
ARAUS_ARAUS_00001_S29,ARAUS_002682,ARAUS_00001,1,29,72.272,0,1,28,0,3,3,4,2,3,4,2,3,2,0.0,0.06066,68.85,25.1,1.75,0.0324,0.0165,0.218
ARAUS_ARAUS_00001_S30,ARAUS_003737,ARAUS_00001,1,30,60.12,0,1,28,0,2,2,4,4,4,3,2,2,3,-0.426777,0.28033,67.6,21.6,1.35,0.0509,0.0136,0.376
ARAUS_ARAUS_00001_S31,ARAUS_000910,ARAUS_00001,1,31,72.058,0,1,28,0,4,3,2,2,2,4,4,4,3,0.28033,-0.426777,50.87,8.03,1.66,0.0169,0.00641,0.121
ARAUS_ARAUS_00001_S32,ARAUS_000992,ARAUS_00001,1,32,52.407,0,1,28,0,4,3,2,1,2,4,4,5,4,0.426777,-0.573223,52.85,8.57,1.89,0.0143,0.0126,0.0343
ARAUS_ARAUS_00001_S33,ARAUS_001476,ARAUS_00001,1,33,59.08,0,1,28,0,4,2,3,2,3,2,2,3,3,0.176777,0.03033,62.49,15.2,1.38,0.028,0.0203,0.184
ARAUS_ARAUS_00001_S34,ARAUS_000393,ARAUS_00001,1,34,66.325,0,1,28,0,4,3,4,2,2,4,2,4,4,0.28033,-0.012563,63.91,17.7,1.3,0.0336,0.0223,0.241
ARAUS_ARAUS_00001_S35,ARAUS_001360,ARAUS_00001,1,35,50.913,0,1,28,0,4,2,3,2,2,4,4,4,3,0.207107,-0.396447,57.06,12.3,1.18,0.0253,0.014,0.229
ARAUS_ARAUS_00001_S36,ARAUS_000825,ARAUS_00001,1,36,44.848,0,1,28,0,4,2,2,2,2,4,4,4,1,0.207107,-0.5,65.99,20.9,1.5,0.0328,0.0134,0.308
ARAUS_ARAUS_00001_S37,ARAUS_001236,ARAUS_00001,1,37,49.127,0,1,28,0,4,3,3,2,2,4,4,4,4,0.28033,-0.323223,62.92,17.4,1.23,0.0313,0.011,0.0374
ARAUS_ARAUS_00001_S38,ARAUS_003031,ARAUS_00001,1,38,55.337,0,1,28,0,4,3,4,2,2,3,2,4,3,0.353553,0.06066,65.71,19.0,1.1,0.0379,0.0147,0.105
ARAUS_ARAUS_00001_S39,ARAUS_004285,ARAUS_00001,1,39,40.263,0,1,28,0,4,2,4,2,2,4,4,4,2,0.207107,-0.292893,50.22,6.95,1.17,0.0236,0.00696,0.192
ARAUS_ARAUS_00001_S40,ARAUS_000924,ARAUS_00001,1,40,51.207,0,1,28,0,4,2,2,2,2,4,4,4,2,0.207107,-0.5,54.64,9.75,1.64,0.0217,0.00702,0.015
ARAUS_ARAUS_00001_S41,ARAUS_004073,ARAUS_00001,1,41,54.921,0,1,28,0,4,2,4,2,2,4,4,4,4,0.207107,-0.292893,50.78,6.87,1.49,0.0231,0.00926,0.196
ARAUS_ARAUS_00001_S42,ARAUS_004464,ARAUS_00001,1,42,50.743,0,1,28,0,2,2,3,3,4,3,4,2,2,-0.353553,-0.103553,70.55,18.1,0.987,0.0399,0.0592,0.801
ARAUS_ARAUS_00001_S43,ARAUS_004392,ARAUS_00001,1,43,51.345,0,1,28,0,2,2,4,4,4,2,3,2,2,-0.353553,0.25,68.61,11.5,1.32,0.0551,0.164,0.342
ARAUS_ARAUS_00001_S44,ARAUS_003533,ARAUS_00001,1,44,43.687,0,1,28,0,2,2,3,4,3,4,2,2,2,-0.396447,0.103553,53.13,8.09,1.18,0.0229,0.0103,0.173
ARAUS_ARAUS_00001_S45,ARAUS_000001,ARAUS_00001,-1,45,50.928,0,1,28,0,3,4,4,3,2,2,2,4,5,0.323223,0.28033,73.47,30.9,1.37,0.0378,0.0328,1.37
ARAUS_ARAUS_00002_S01,ARAUS_000002,ARAUS_00002,-1,1,139.955,0,1,22,1,2,5,5,5,3,1,1,1,3,-0.103553,1.0,73.47,30.9,1.37,0.0378,0.0328,1.37
ARAUS_ARAUS_00002_S02,ARAUS_004763,ARAUS_00002,2,2,101.932,0,1,22,1,4,2,2,1,4,3,4,3,5,0.073223,-0.426777,63.03,14.8,1.31,0.0409,0.0428,0.338
ARAUS_ARAUS_00002_S03,ARAUS_005412,ARAUS_00002,2,3,120.624,0,1,22,1,4,2,2,1,1,1,4,4,3,0.603553,-0.353553,57.6,11.8,1.64,0.0235,0.0275,0.376
ARAUS_ARAUS_00002_S04,ARAUS_007736,ARAUS_00002,2,4,102.359,0,1,22,1,1,4,4,2,5,1,2,2,3,-0.194544,0.426777,68.25,20.8,1.28,0.0372,0.0357,0.163
ARAUS_ARAUS_00002_S05,ARAUS_007380,ARAUS_00002,2,5,86.866,0,1,22,1,5,1,2,1,4,4,4,5,5,0.176777,-0.71967,55.89,10.6,1.12,0.0273,0.00933,0.137
ARAUS_ARAUS_00002_S06,ARAUS_007678,ARAUS_00002,2,6,88.978,0,1,22,1,2,5,5,2,3,1,1,1,1,0.116117,0.78033,70.61,26.1,1.49,0.0386,0.0263,0.1
ARAUS_ARAUS_00002_S07,ARAUS_008664,ARAUS_00002,2,7,82.209,0,1,22,1,3,2,1,1,1,5,4,4,4,0.207107,-0.75,63.04,16.2,1.15,0.0332,0.0126,0.886
ARAUS_ARAUS_00002_S08,ARAUS_004859,ARAUS_00002,2,8,82.227,0,1,22,1,2,5,5,3,1,1,1,2,5,0.323223,0.78033,72.24,26.5,1.3,0.0413,0.0523,0.692
ARAUS_ARAUS_00002_S09,ARAUS_007609,ARAUS_00002,2,9,79.156,0,1,22,1,2,4,4,4,2,1,1,1,1,0.0,0.75,66.66,22.0,1.59,0.0302,0.0131,0.138
ARAUS_ARAUS_00002_S10,ARAUS_008860,ARAUS_00002,2,10,99.12,0,1,22,1,2,1,3,1,5,5,1,2,2,-0.53033,-0.15901,63.69,17.1,1.85,0.0312,0.011,0.161
ARAUS_ARAUS_00002_S11,ARAUS_004539,ARAUS_00002,2,11,65.327,0,1,22,1,4,1,2,1,1,3,4,5,5,0.457107,-0.646447,60.62,15.5,1.9,0.0229,0.0106,0.0536
ARAUS_ARAUS_00002_S12,ARAUS_005797,ARAUS_00002,2,12,66.727,0,1,22,1,2,4,4,2,2,1,1,2,4,0.21967,0.53033,65.64,19.6,1.25,0.035,0.0113,0.157
ARAUS_ARAUS_00002_S13,ARAUS_008640,ARAUS_00002,2,13,74.343,0,1,22,1,4,2,2,1,1,2,3,2,5,0.383883,-0.176777,66.37,20.8,1.33,0.0334,0.0101,0.825
ARAUS_ARAUS_00002_S14,ARAUS_004975,ARAUS_00002,2,14,91.362,0,1,22,1,4,5,5,2,1,1,1,2,4,0.603553,0.707107,71.38,23.8,1.2,0.0421,0.0409,0.656
ARAUS_ARAUS_00002_S15,ARAUS_005140,ARAUS_00002,2,15,79.478,0,1,22,1,5,1,1,1,1,2,5,5,3,0.633883,-0.78033,55.68,10.9,1.31,0.0249,0.00881,0.236
ARAUS_ARAUS_00002_S16,ARAUS_007046,ARAUS_00002,2,16,66.206,0,1,22,1,2,3,5,5,3,1,2,2,2,-0.176777,0.676777,73.25,28.0,1.18,0.0537,0.0152,0.122
ARAUS_ARAUS_00002_S17,ARAUS_008866,ARAUS_00002,2,17,64.015,0,1,22,1,4,1,1,1,1,5,4,4,5,0.237437,-0.823223,60.69,12.6,1.05,0.0362,0.00989,0.0597
ARAUS_ARAUS_00002_S18,ARAUS_006083,ARAUS_00002,2,18,60.016,0,1,22,1,2,1,3,1,4,2,2,2,2,-0.207107,-0.042893,63.24,17.8,1.29,0.0354,0.0115,0.173
ARAUS_ARAUS_00002_S19,ARAUS_007989,ARAUS_00002,2,19,63.039,0,1,22,1,3,1,2,1,1,2,4,4,1,0.353553,-0.5,56.69,9.15,1.21,0.0292,0.0129,0.111
ARAUS_ARAUS_00002_S20,ARAUS_004522,ARAUS_00002,2,20,57.35,0,1,22,1,1,1,2,1,1,4,3,5,4,0.073223,-0.616117,59.86,14.8,1.82,0.0234,0.0131,0.0592
ARAUS_ARAUS_00002_S21,ARAUS_000002,ARAUS_00002,-1,21,52.608,1,1,22,1,3,3,3,3,3,3,3,3,3,0.0,0.0,73.47,30.9,1.37,0.0378,0.0328,1.37
ARAUS_ARAUS_00002_S22,ARAUS_006825,ARAUS_00002,2,22,103.449,0,1,22,1,4,2,3,1,1,1,2,2,5,0.457107,0.103553,67.2,19.9,1.17,0.0398,0.0133,0.118
ARAUS_ARAUS_00002_S23,ARAUS_006912,ARAUS_00002,2,23,61.65,0,1,22,1,2,2,4,2,4,2,2,2,1,-0.207107,0.207107,69.25,23.9,1.39,0.0352,0.0138,0.333
ARAUS_ARAUS_00002_S24,ARAUS_007496,ARAUS_00002,2,24,64.654,0,1,22,1,3,4,4,1,1,1,1,2,3,0.5,0.457107,67.87,22.3,1.4,0.0368,0.0117,0.113
ARAUS_ARAUS_00002_S25,ARAUS_004892,ARAUS_00002,2,25,88.794,0,1,22,1,3,5,5,2,1,1,1,2,4,0.5,0.707107,72.55,26.4,1.19,0.0453,0.0338,0.6
ARAUS_ARAUS_00002_S26,ARAUS_008899,ARAUS_00002,2,26,81.623,0,1,22,1,4,1,2,1,1,5,4,5,2,0.31066,-0.792893,63.73,18.5,1.67,0.0284,0.0115,0.0349
ARAUS_ARAUS_00002_S27,ARAUS_006186,ARAUS_00002,2,27,54.571,0,1,22,1,3,2,4,2,1,4,2,3,2,0.133883,-0.012563,61.18,15.2,1.17,0.0317,0.0086,0.156
ARAUS_ARAUS_00002_S28,ARAUS_004740,ARAUS_00002,2,28,56.775,0,1,22,1,4,1,2,1,1,4,3,5,4,0.383883,-0.616117,53.35,8.77,1.06,0.0242,0.00921,0.114
ARAUS_ARAUS_00002_S29,ARAUS_005984,ARAUS_00002,2,29,68.152,0,1,22,1,4,2,2,1,1,3,3,4,4,0.457107,-0.396447,60.29,13.8,1.16,0.0299,0.0175,0.172
ARAUS_ARAUS_00002_S30,ARAUS_007335,ARAUS_00002,2,30,59.343,0,1,22,1,5,1,2,1,1,4,4,5,4,0.487437,-0.71967,54.67,8.84,1.05,0.0267,0.0137,0.221
ARAUS_ARAUS_00002_S31,ARAUS_004532,ARAUS_00002,2,31,61.303,0,1,22,1,5,2,2,1,1,3,2,4,5,0.56066,-0.292893,61.0,15.7,1.77,0.0244,0.0124,0.0563
ARAUS_ARAUS_00002_S32,ARAUS_007943,ARAUS_00002,2,32,44.191,0,1,22,1,2,1,3,1,4,2,2,3,1,-0.133883,-0.116117,61.47,13.8,1.25,0.032,0.0117,0.112
ARAUS_ARAUS_00002_S33,ARAUS_006615,ARAUS_00002,2,33,53.032,0,1,22,1,4,1,2,1,2,3,4,4,4,0.28033,-0.573223,60.96,14.1,1.33,0.0293,0.0252,0.307
ARAUS_ARAUS_00002_S34,ARAUS_005047,ARAUS_00002,2,34,51.239,0,1,22,1,5,3,2,1,1,2,2,5,5,0.78033,-0.21967,54.6,9.55,1.24,0.0218,0.0139,0.344
ARAUS_ARAUS_00002_S35,ARAUS_008198,ARAUS_00002,2,35,69.294,0,1,22,1,4,1,3,1,2,4,2,4,4,0.207107,-0.335786,58.75,11.9,1.08,0.0304,0.04,0.275
