clip_id,dataset_id,recording,audio_asset,licence_spdx,n_responses,n_sources,mean_annoyance,source_aircraft,source_bells,source_bird_tweet,source_bus,source_car,source_children,source_construction,source_dog_bark,source_footsteps,source_general_traffic,source_horn,source_laughter,source_motorcycle,source_music,source_non_identifiable,source_other,source_rail,source_rustling_leaves,source_screeching_brakes,source_shouting,source_siren,source_speech,source_ventilation,source_water
DeLTA_Rs118_2,DeLTA,Rs118_2.mp3,DeLTA_mp3_boost_8dB/Rs118_2.mp3,CC-BY-4.0,4,7,5.5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
DeLTA_ET438_1,DeLTA,ET438_1.mp3,DeLTA_mp3_boost_8dB/ET438_1.mp3,CC-BY-4.0,4,1,4.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_bib3_2,DeLTA,bib3_2.mp3,DeLTA_mp3_boost_8dB/bib3_2.mp3,CC-BY-4.0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
DeLTA_Ts414_2,DeLTA,Ts414_2.mp3,DeLTA_mp3_boost_8dB/Ts414_2.mp3,CC-BY-4.0,4,3,3.25,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_ML104_4,DeLTA,ML104_4.mp3,DeLTA_mp3_boost_8dB/ML104_4.mp3,CC-BY-4.0,4,3,3.5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DeLTA_SR237_1,DeLTA,SR237_1.mp3,DeLTA_mp3_boost_8dB/SR237_1.mp3,CC-BY-4.0,4,3,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
DeLTA_ET215_1,DeLTA,ET215_1.mp3,DeLTA_mp3_boost_8dB/ET215_1.mp3,CC-BY-4.0,4,3,2.75,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_SR218_1,DeLTA,SR218_1.mp3,DeLTA_mp3_boost_8dB/SR218_1.mp3,CC-BY-4.0,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DeLTA_CT329_2,DeLTA,CT329_2.mp3,DeLTA_mp3_boost_8dB/CT329_2.mp3,CC-BY-4.0,4,3,3.75,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_RP304_1,DeLTA,RP304_1.mp3,DeLTA_mp3_boost_8dB/RP304_1.mp3,CC-BY-4.0,4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_ts235_1,DeLTA,ts235_1.mp3,DeLTA_mp3_boost_8dB/ts235_1.mp3,CC-BY-4.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
DeLTA_bib2_1,DeLTA,bib2_1.mp3,DeLTA_mp3_boost_8dB/bib2_1.mp3,CC-BY-4.0,3,4,5.33333,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
DeLTA_PL327_1,DeLTA,PL327_1.mp3,DeLTA_mp3_boost_8dB/PL327_1.mp3,CC-BY-4.0,3,1,3.33333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_tm106_2,DeLTA,tm106_2.mp3,DeLTA_mp3_boost_8dB/tm106_2.mp3,CC-BY-4.0,3,4,5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_m211_2,DeLTA,m211_2.mp3,DeLTA_mp3_boost_8dB/m211_2.mp3,CC-BY-4.0,3,2,5.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DeLTA_NP120_1,DeLTA,NP120_1.mp3,DeLTA_mp3_boost_8dB/NP120_1.mp3,CC-BY-4.0,3,3,2.66667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
DeLTA_cp7_1,DeLTA,cp7_1.mp3,DeLTA_mp3_boost_8dB/cp7_1.mp3,CC-BY-4.0,3,2,4.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DeLTA_tm332_1,DeLTA,tm332_1.mp3,DeLTA_mp3_boost_8dB/tm332_1.mp3,CC-BY-4.0,3,2,3.33333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
