response_id,clip_id,participant_id,recording,start_time_excel,end_time_excel,gender,age,experiment_id,version,tree_node_key,annoyance,source_aircraft,source_bells,source_bird_tweet,source_bus,source_car,source_children,source_construction,source_dog_bark,source_footsteps,source_general_traffic,source_horn,source_laughter,source_motorcycle,source_music,source_non_identifiable,source_other,source_rail,source_rustling_leaves,source_screeching_brakes,source_shouting,source_siren,source_speech,source_ventilation,source_water
DeLTA_000001,DeLTA_Rs118_2,b7452,Rs118_2.mp3,44382.5,44382.5,Female,34,43876,39,task-11cz,5,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
DeLTA_000002,DeLTA_ET438_1,b7452,ET438_1.mp3,44382.5,44382.5,Female,34,43876,39,task-11cz,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DeLTA_000003,DeLTA_bib3_2,b7452,bib3_2.mp3,44382.5,44382.5,Female,34,43876,39,task-11cz,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
DeLTA_000004,DeLTA_Ts414_2,b7452,Ts414_2.mp3,44382.5,44382.5,Female,34,43876,39,task-11cz,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_000005,DeLTA_ML104_4,b7452,ML104_4.mp3,44382.5,44382.5,Female,34,43876,39,task-11cz,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DeLTA_000006,DeLTA_SR237_1,b7452,SR237_1.mp3,44382.5,44382.5,Female,34,43876,39,task-11cz,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
DeLTA_000007,DeLTA_ET215_1,b7452,ET215_1.mp3,44382.5,44382.5,Female,34,43876,39,task-11cz,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
DeLTA_000008,DeLTA_SR218_1,b7452,SR218_1.mp3,44382.5,44382.5,Female,34,43876,39,task-11cz,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_000009,DeLTA_CT329_2,b7452,CT329_2.mp3,44382.5,44382.5,Female,34,43876,39,task-11cz,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
DeLTA_000010,DeLTA_RP304_1,b7452,RP304_1.mp3,44382.5,44382.5,Female,34,43876,39,task-11cz,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
DeLTA_000011,DeLTA_Ts414_2,8850c,Ts414_2.mp3,44383,44383,Female,22,43876,39,task-11cz,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_000012,DeLTA_ET438_1,8850c,ET438_1.mp3,44383,44383,Female,22,43876,39,task-11cz,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
DeLTA_000013,DeLTA_SR218_1,8850c,SR218_1.mp3,44383,44383,Female,22,43876,39,task-11cz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DeLTA_000014,DeLTA_bib3_2,8850c,bib3_2.mp3,44383,44383,Female,22,43876,39,task-11cz,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_000015,DeLTA_CT329_2,8850c,CT329_2.mp3,44383,44383,Female,22,43876,39,task-11cz,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_000016,DeLTA_SR237_1,8850c,SR237_1.mp3,44383,44383,Female,22,43876,39,task-11cz,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
DeLTA_000017,DeLTA_ET215_1,8850c,ET215_1.mp3,44383,44383,Female,22,43876,39,task-11cz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
DeLTA_000018,DeLTA_Rs118_2,8850c,Rs118_2.mp3,44383,44383,Female,22,43876,39,task-11cz,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
DeLTA_000019,DeLTA_ML104_4,8850c,ML104_4.mp3,44383,44383,Female,22,43876,39,task-11cz,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
DeLTA_000020,DeLTA_RP304_1,8850c,RP304_1.mp3,44383,44383,Female,22,43876,39,task-11cz,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_000021,DeLTA_ET438_1,ad1e5,ET438_1.mp3,44383,44383,Female,18,43876,39,task-11cz,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_000022,DeLTA_CT329_2,ad1e5,CT329_2.mp3,44383,44383,Female,18,43876,39,task-11cz,9,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_000023,DeLTA_RP304_1,ad1e5,RP304_1.mp3,44383,44383,Female,18,43876,39,task-11cz,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DeLTA_000024,DeLTA_SR237_1,ad1e5,SR237_1.mp3,44383,44383,Female,18,43876,39,task-11cz,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
DeLTA_000025,DeLTA_Ts414_2,ad1e5,Ts414_2.mp3,44383,44383,Female,18,43876,39,task-11cz,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_000026,DeLTA_Rs118_2,ad1e5,Rs118_2.mp3,44383,44383,Female,18,43876,39,task-11cz,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
DeLTA_000027,DeLTA_SR218_1,ad1e5,SR218_1.mp3,44383,44383,Female,18,43876,39,task-11cz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
DeLTA_000028,DeLTA_ML104_4,ad1e5,ML104_4.mp3,44383,44383,Female,18,43876,39,task-11cz,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DeLTA_000029,DeLTA_bib3_2,ad1e5,bib3_2.mp3,44383,44383,Female,18,43876,39,task-11cz,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
DeLTA_000030,DeLTA_ET215_1,ad1e5,ET215_1.mp3,44383,44383,Female,18,43876,39,task-11cz,5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_000031,DeLTA_ML104_4,d1e67,ML104_4.mp3,44383,44383,Male,22,43876,39,task-11cz,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DeLTA_000032,DeLTA_CT329_2,d1e67,CT329_2.mp3,44383,44383,Male,22,43876,39,task-11cz,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DeLTA_000033,DeLTA_RP304_1,d1e67,RP304_1.mp3,44383,44383,Male,22,43876,39,task-11cz,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DeLTA_000034,DeLTA_SR218_1,d1e67,SR218_1.mp3,44383,44383,Male,22,43876,39,task-11cz,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
DeLTA_000035,DeLTA_ET438_1,d1e67,ET438_1.mp3,44383,44383,Male,22,43876,39,task-11cz,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
