clip_id,dataset_id,recording,audio_asset,licence_spdx,n_responses,n_participants,n_languages,mean_PAQ1_pleasant,mean_PAQ2_vibrant,mean_PAQ3_eventful,mean_PAQ4_chaotic,mean_PAQ5_annoying,mean_PAQ6_monotonous,mean_PAQ7_uneventful,mean_PAQ8_calm,mean_loud_raw_0_100,mean_ISOPleasant,mean_ISOEventful
SATP_CG01,SATP,CG01,SATP WAV/CG01.wav,CC-BY-4.0,646,645,18,4.03833,3.67108,3.58084,2.28198,1.75635,1.87176,2.05975,3.21858,44.3578,0.436639,0.220685
SATP_CG04,SATP,CG04,SATP WAV/CG04.wav,CC-BY-4.0,646,645,18,2.99065,3.15189,3.32353,2.88267,2.47709,2.73988,2.47362,2.60384,40.1912,0.0629336,0.138596
SATP_CG07,SATP,CG07,SATP WAV/CG07.wav,CC-BY-4.0,646,645,18,2.84335,2.93975,3.23764,2.86971,2.56757,2.81854,2.55398,2.57538,40.2892,0.0158821,0.101222
SATP_CT301,SATP,CT301,SATP WAV/CT301.wav,CC-BY-4.0,646,645,18,1.30396,2.28706,3.02718,3.97486,4.60701,3.39214,2.46712,1.21251,89.0833,-0.625228,0.179348
SATP_E01b,SATP,E01b,SATP WAV/E01b.wav,CC-BY-4.0,646,645,18,2.18402,1.99975,2.09783,2.54105,3.1818,3.93641,3.52743,2.40111,48.7255,-0.255378,-0.279601
SATP_E02,SATP,E02,SATP WAV/E02.wav,CC-BY-4.0,646,645,18,3.06669,2.43567,2.3922,2.37585,2.44019,3.29542,3.27107,3.09771,47.1422,0.0547793,-0.206821
SATP_E05,SATP,E05,SATP WAV/E05.wav,CC-BY-4.0,646,645,18,3.76936,3.06834,3.08118,2.14028,1.84905,2.41619,2.70648,3.52471,32.4412,0.34798,-0.0148187
SATP_E09,SATP,E09,SATP WAV/E09.wav,CC-BY-4.0,646,645,18,3.01511,3.38471,3.66477,3.15529,2.81046,2.34043,2.10762,2.37189,47.0735,0.0402931,0.295077
SATP_E10,SATP,E10,SATP WAV/E10.wav,CC-BY-4.0,646,645,18,2.97746,3.52563,3.80099,3.3969,2.92737,2.23443,2.01966,2.23474,55.7206,0.014636,0.364107
SATP_E11b,SATP,E11b,SATP WAV/E11b.wav,CC-BY-4.0,646,645,18,1.53604,2.76972,3.78322,4.26099,4.19274,2.47325,1.96594,1.38291,86.6127,-0.464145,0.420636
SATP_E12b,SATP,E12b,SATP WAV/E12b.wav,CC-BY-4.0,646,645,18,1.34099,2.53709,3.41133,4.21437,4.45313,3.08737,2.1852,1.24582,85.1569,-0.579932,0.304043
SATP_HR01,SATP,HR01,SATP WAV/HR01.wav,CC-BY-4.0,646,645,18,1.6044,2.78811,3.76272,4.1857,4.10551,2.4696,1.91678,1.40724,73.9951,-0.439124,0.417924
SATP_KT01,SATP,KT01,SATP WAV/KT01.wav,CC-BY-4.0,646,645,18,2.37029,1.62456,1.63758,1.89414,2.69811,4.1525,4.12248,3.2134,32.4118,-0.12245,-0.539024
SATP_LS06,SATP,LS06,SATP WAV/LS06.wav,CC-BY-4.0,646,645,18,3.89362,3.63022,3.62638,2.50229,1.85115,1.9226,2.07542,3.15144,44.4755,0.384075,0.238111
SATP_N1,SATP,N1,SATP WAV/N1.wav,CC-BY-4.0,646,645,18,4.13127,3.21115,2.89678,1.82471,1.63783,2.37201,2.74879,3.91808,31.5882,0.472932,-0.0765151
SATP_OS01c,SATP,OS01c,SATP WAV/OS01c.wav,CC-BY-4.0,646,645,18,2.08563,3.34272,3.86923,3.99424,3.71864,2.1852,1.8535,1.55889,64.3529,-0.26267,0.471818
SATP_OS01d,SATP,OS01d,SATP WAV/OS01d.wav,CC-BY-4.0,646,645,18,3.30691,4.26605,4.24478,3.46431,2.54313,1.71423,1.57476,1.64733,69.6176,0.132899,0.596387
SATP_RPJ01,SATP,RPJ01,SATP WAV/RPJ01.wav,CC-BY-4.0,646,645,18,3.83604,3.0761,2.79127,1.9948,1.81845,2.61659,2.83287,3.66229,30.5735,0.364674,-0.0927605
SATP_VP01b,SATP,VP01b,SATP WAV/VP01b.wav,CC-BY-4.0,646,645,18,4.02347,2.32867,2.05666,1.42452,1.44427,2.89672,3.51579,4.35206,14.7108,0.439854,-0.407057
SATP_W01,SATP,W01,SATP WAV/W01.wav,CC-BY-4.0,646,645,18,1.6831,2.2743,2.78328,3.28223,4.09282,3.63009,2.66084,1.60396,64.5833,-0.471698,0.0362924
SATP_W06,SATP,W06,SATP WAV/W06.wav,CC-BY-4.0,646,645,18,3.68427,2.39653,2.27014,1.7792,1.82786,3.07635,3.32161,3.80514,30.1863,0.290806,-0.307008
SATP_W09,SATP,W09,SATP WAV/W09.wav,CC-BY-4.0,646,645,18,1.38322,2.13189,2.51232,3.59895,4.45498,3.9826,2.92167,1.32929,81.1618,-0.619799,-0.0117129
SATP_W11a,SATP,W11a,SATP WAV/W11a.wav,CC-BY-4.0,646,645,18,2.81938,2.73907,2.91752,2.56669,2.5698,3.14136,2.85563,2.74712,39.3039,0.00959995,-0.0362595
SATP_W15,SATP,W15,SATP WAV/W15.wav,CC-BY-4.0,646,645,18,2.45313,2.40192,2.97214,2.71455,2.82074,3.09944,2.83616,2.63684,40.4314,-0.0948333,-0.0313038
SATP_W16,SATP,W16,SATP WAV/W16.wav,CC-BY-4.0,646,645,18,3.08167,1.7935,1.72012,1.62594,1.94898,3.73046,4.08588,3.92328,17.1225,0.143682,-0.555032
SATP_W22,SATP,W22,SATP WAV/W22.wav,CC-BY-4.0,646,645,18,3.77944,2.86241,2.86421,1.93969,1.84786,2.54594,2.84378,3.69096,29.299,0.351428,-0.102945
SATP_W23a,SATP,W23a,SATP WAV/W23a.wav,CC-BY-4.0,645,644,18,2.94295,2.83051,3.03975,2.54654,2.39678,2.79944,2.71541,2.93017,29.402,0.0869233,0.00777115
