response_id,clip_id,participant_id,language,institution,age,gender,sequence_id,PAQ1_pleasant,PAQ2_vibrant,PAQ3_eventful,PAQ4_chaotic,PAQ5_annoying,PAQ6_monotonous,PAQ7_uneventful,PAQ8_calm,PAQ1_pleasant_raw_0_100,PAQ2_vibrant_raw_0_100,PAQ3_eventful_raw_0_100,PAQ4_chaotic_raw_0_100,PAQ5_annoying_raw_0_100,PAQ6_monotonous_raw_0_100,PAQ7_uneventful_raw_0_100,PAQ8_calm_raw_0_100,loud_raw_0_100,ISOPleasant,ISOEventful
SATP_000001,SATP_CG01,BIS_1,arb,BIS,55,,,3.28,1.92,3.72,1.28,1.68,1.28,1.64,4,57,23,68,7,17,7,16,75,,0.411716,0.0630866
SATP_000002,SATP_CG04,BIS_1,arb,BIS,55,,,4.36,4.04,4.36,2.72,1.52,1.6,2,2.8,84,76,84,43,13,15,25,45,,0.478614,0.417193
SATP_000003,SATP_CG07,BIS_1,arb,BIS,55,,,1.56,1.6,3.96,3.64,3.24,3.92,1.92,1.6,14,15,74,66,56,73,23,15,,-0.493223,0.190746
SATP_000004,SATP_CT301,BIS_1,arb,BIS,55,,,1.2,1.56,1.56,4.76,4.4,4.76,4,1.16,5,14,14,94,85,94,75,4,,-0.829289,-0.223381
SATP_000005,SATP_E01b,BIS_1,arb,BIS,55,,,1.56,1.6,1.92,4.28,4.32,4.36,4.04,3.56,14,15,23,82,83,84,76,64,,-0.540624,-0.368909
SATP_000006,SATP_E02,BIS_1,arb,BIS,55,,,1.56,1.6,1.64,4.04,3.96,4.36,1.68,1.24,14,15,16,76,74,84,17,6,,-0.65565,-0.0012132
SATP_000007,SATP_E05,BIS_1,arb,BIS,55,,,2.76,3.6,3.92,1.64,1.64,1.92,2.88,2.04,44,65,73,16,16,23,47,26,,0.268284,0.201421
SATP_000008,SATP_E09,BIS_1,arb,BIS,55,,,3.2,3.56,3.64,1.52,1.96,2,2.4,2.84,55,64,66,13,24,25,35,46,,0.339289,0.14598
SATP_000009,SATP_E10,BIS_1,arb,BIS,55,,,3.24,3.6,3.52,2.04,1.6,2.04,2.88,1.96,56,65,63,26,15,26,47,24,,0.278198,0.18636
SATP_000010,SATP_E11b,BIS_1,arb,BIS,55,,,1.68,1.64,2.36,4.48,4.8,4.4,1.96,1.28,17,16,34,87,95,85,24,7,,-0.759497,0.0736396
SATP_000011,SATP_E12b,BIS_1,arb,BIS,55,,,1.68,1.68,2.4,4.32,4.76,4.4,3.12,1.52,17,17,35,83,94,85,53,13,,-0.723137,-0.0687006
SATP_000012,SATP_HR01,BIS_1,arb,BIS,55,,,1.64,2.04,1.96,4.4,4.4,4.4,1.64,1.32,16,26,24,85,85,85,16,8,,-0.684142,0.0858579
SATP_000013,SATP_KT01,BIS_1,arb,BIS,55,,,4.44,1.64,1.24,1.6,4.4,4.04,2.76,4.48,86,16,6,15,85,76,44,87,,0.0392893,-0.54402
SATP_000014,SATP_LS06,BIS_1,arb,BIS,55,,,3.96,3.6,4,1.48,1.48,1.68,1.92,2.72,74,65,75,12,12,17,23,43,,0.488198,0.265183
SATP_000015,SATP_N1,BIS_1,arb,BIS,55,,,4.28,4.08,3.68,1.52,1.56,1.68,2.28,2.72,82,77,67,13,14,17,32,43,,0.545269,0.232843
SATP_000016,SATP_OS01c,BIS_1,arb,BIS,55,,,2.92,3.32,3.48,4.36,4.4,4.4,3.16,2.12,48,58,62,84,85,85,54,28,,-0.39636,0.118076
SATP_000017,SATP_OS01d,BIS_1,arb,BIS,55,,,2.04,2.84,3.6,3.6,4.04,4.12,3.24,1.6,26,46,65,65,76,78,56,15,,-0.447279,0.09
SATP_000018,SATP_RPJ01,BIS_1,arb,BIS,55,,,3.6,3.52,3.24,1.76,2.04,2.08,1.92,3.52,65,63,56,19,26,27,23,63,,0.395858,0.113259
SATP_000019,SATP_VP01b,BIS_1,arb,BIS,55,,,2.84,2.36,2.52,2.4,2.88,2.92,3.92,3.92,46,34,38,35,47,48,73,73,,0.0661522,-0.297279
SATP_000020,SATP_W01,BIS_1,arb,BIS,55,,,1.32,1.64,1.68,4.48,4.8,4.68,2.08,1.68,8,16,17,87,95,92,27,17,,-0.78799,-0.0589949
SATP_000021,SATP_W06,BIS_1,arb,BIS,55,,,1.92,2.08,2.32,2.12,2.12,2.12,2.12,3.28,23,27,33,28,28,28,28,57,,0.0612994,-0.0671573
SATP_000022,SATP_W09,BIS_1,arb,BIS,55,,,1.68,1.68,1.68,4.72,4.76,4.72,4.28,1.28,17,17,17,93,94,93,82,7,,-0.793431,-0.239949
SATP_000023,SATP_W11a,BIS_1,arb,BIS,55,,,1.92,1.72,2.04,2.12,4.52,1.88,2.08,2.32,23,18,26,28,88,22,27,33,,-0.26631,-0.0305025
SATP_000024,SATP_W15,BIS_1,arb,BIS,55,,,1.92,2.12,3.72,3.48,4.48,4.52,1.68,1.48,23,28,68,62,87,88,17,12,,-0.587279,0.18196
SATP_000025,SATP_W16,BIS_1,arb,BIS,55,,,2.12,1.68,1.48,2.12,4.12,4.12,3.92,3.52,28,17,12,28,78,78,73,63,,-0.283259,-0.533848
SATP_000026,SATP_W22,BIS_1,arb,BIS,55,,,1.92,1.72,2.08,1.88,3.68,3.72,2.12,2.52,23,18,27,22,67,68,28,38,,-0.281838,-0.197452
SATP_000027,SATP_W23a,BIS_1,arb,BIS,55,,,1.92,2.48,2.32,2.36,4.16,4.16,4.12,3.24,23,37,33,34,79,79,78,56,,-0.290538,-0.373848
SATP_000028,SATP_CG01,BIS_2,arb,BIS,33,,,4.04,4,3.96,1.2,1.2,1.24,1.6,2.8,76,75,74,5,5,6,15,45,,0.613345,0.329325
SATP_000029,SATP_CG04,BIS_2,arb,BIS,33,,,1.2,1.24,1.24,1.96,1.96,4.36,3.16,1.6,5,6,6,24,24,84,54,15,,-0.333518,-0.400919
SATP_000030,SATP_CG07,BIS_2,arb,BIS,33,,,1.2,1.24,1.24,2.36,4,3.96,3.96,1.24,5,6,6,34,75,74,74,6,,-0.571127,-0.398823
SATP_000031,SATP_CT301,BIS_2,arb,BIS,33,,,1.28,2.04,1.24,4.8,4.8,2.8,2.76,1.24,7,26,6,95,95,45,44,6,,-0.680833,0.0476241
SATP_000032,SATP_E01b,BIS_2,arb,BIS,33,,,1.24,1.6,1.2,3.6,4.4,4.36,4.28,1.28,6,15,5,65,85,84,82,7,,-0.699203,-0.351163
SATP_000033,SATP_E02,BIS_2,arb,BIS,33,,,1.24,2,2,4,4,3.24,3.24,1.24,6,25,25,75,75,56,56,6,,-0.578701,-0.0171068
SATP_000034,SATP_E05,BIS_2,arb,BIS,33,,,2.44,2.4,2.36,2.04,1.6,2.8,4.4,3.6,36,35,34,26,15,45,85,65,,0.171924,-0.354767
SATP_000035,SATP_E09,BIS_2,arb,BIS,33,,,2.76,2.76,3.16,3.24,3.24,2.8,3.56,2.04,44,44,54,56,56,45,64,26,,-0.140503,0.0435177
SATP_000036,SATP_E10,BIS_2,arb,BIS,33,,,1.28,2.72,2.4,3.16,1.6,3.6,2.08,1.96,7,43,35,54,15,65,27,24,,-0.185442,0.0565685
SATP_000037,SATP_E11b,BIS_2,arb,BIS,33,,,2,3.2,3.56,4.4,4.36,1.64,1.28,1.24,25,55,64,85,84,16,7,6,,-0.361543,0.581716
SATP_000038,SATP_E12b,BIS_2,arb,BIS,33,,,1.2,2.32,1.64,4.76,4.72,1.64,3.12,1.24,5,33,16,94,93,16,53,6,,-0.572462,0.154279
SATP_000039,SATP_HR01,BIS_2,arb,BIS,33,,,1.2,3.56,2,4.4,4.36,3.2,3.2,1.2,5,64,25,85,84,55,55,5,,-0.535183,0.136411
SATP_000040,SATP_KT01,BIS_2,arb,BIS,33,,,1.24,1.24,1.24,2.4,4.4,4.48,4.44,4.48,6,6,6,35,85,87,86,87,,-0.412168,-0.720919
SATP_000041,SATP_LS06,BIS_2,arb,BIS,33,,,4.4,3.64,3.6,1.2,1.2,1.6,2.4,4.44,85,66,65,5,5,15,35,86,,0.71799,0.0363961
SATP_000042,SATP_N1,BIS_2,arb,BIS,33,,,4.4,4.04,3.96,1.24,1.12,1.28,1.28,4.44,85,76,74,6,3,7,7,86,,0.776066,0.245305
SATP_000043,SATP_OS01c,BIS_2,arb,BIS,33,,,1.28,3.24,3.2,3.2,3.6,1.64,3.6,1.2,7,56,55,55,65,16,65,5,,-0.269533,0.222183
SATP_000044,SATP_OS01d,BIS_2,arb,BIS,33,,,4.08,4.4,4,3.2,3.6,1.2,1.2,1.64,77,85,75,55,65,5,5,16,,0.169792,0.638492
SATP_000045,SATP_RPJ01,BIS_2,arb,BIS,33,,,3.96,2,2,1.16,1.12,4,4.32,4.8,74,25,25,4,3,75,83,95,,0.414178,-0.653223
SATP_000046,SATP_VP01b,BIS_2,arb,BIS,33,,,1.64,1.24,1.2,1.28,1.28,1.28,1.2,1.16,16,6,5,7,7,7,5,4,,0.0255635,0.00585786
SATP_000047,SATP_W01,BIS_2,arb,BIS,33,,,1.32,3.96,2.4,4.84,4.8,3.28,3.24,1.2,8,74,35,96,95,57,56,5,,-0.577107,0.22934
SATP_000048,SATP_W06,BIS_2,arb,BIS,33,,,4.28,2.76,2.76,1.2,1.16,2.36,3.56,4.32,82,44,44,5,4,34,64,83,,0.580833,-0.28201
SATP_000049,SATP_W09,BIS_2,arb,BIS,33,,,1.24,4.4,3.6,4.48,4.44,4.08,4.44,1.28,6,85,65,87,86,77,86,7,,-0.542254,0.170761
SATP_000050,SATP_W11a,BIS_2,arb,BIS,33,,,1.96,3.56,3.24,2.4,4.4,4,4,1.56,24,64,56,35,85,75,75,14,,-0.346396,-0.0494113
SATP_000051,SATP_W15,BIS_2,arb,BIS,33,,,1.6,3.2,3.52,2,4.04,1.68,3.64,1.64,15,55,63,25,76,17,66,16,,-0.167731,0.125233
SATP_000052,SATP_W16,BIS_2,arb,BIS,33,,,1.28,1.28,1.28,1.2,4.36,3.64,3.6,3.6,7,7,7,5,84,66,65,65,,-0.316016,-0.588787
SATP_000053,SATP_W22,BIS_2,arb,BIS,33,,,3.24,3.2,2.44,1.48,4.36,2.4,2.44,2,56,55,36,12,84,35,36,25,,-0.019325,0.0205025
SATP_000054,SATP_W23a,BIS_2,arb,BIS,33,,,1.64,1.96,2.4,1.64,3.6,3.6,3.56,3.56,16,24,35,16,65,65,64,64,,-0.182462,-0.380797
SATP_000055,SATP_CG01,BIS_3,arb,BIS,24,,,3.64,4.8,4.76,1.6,1.24,1.6,1.6,2.36,66,95,94,15,6,15,15,34,,0.538492,0.505894
SATP_000056,SATP_CG04,BIS_3,arb,BIS,24,,,3.2,4,4,3.16,3.2,3.2,1.24,3.2,55,75,75,54,55,55,6,55,,0.0615076,0.341457
SATP_000057,SATP_CG07,BIS_3,arb,BIS,24,,,2.8,3.6,4.76,2.32,2.8,3.2,1.2,2.04,45,65,94,33,45,55,5,26,,0.0087868,0.418442
SATP_000058,SATP_CT301,BIS_3,arb,BIS,24,,,1.24,2.76,4.8,3.6,3.2,1.2,1.2,1.24,6,44,95,65,55,5,5,6,,-0.261543,0.659828
SATP_000059,SATP_E01b,BIS_3,arb,BIS,24,,,2.4,2.76,2.36,2,2,2.32,2.32,3.92,35,44,34,25,25,33,33,73,,0.214228,-0.104228
SATP_000060,SATP_E02,BIS_3,arb,BIS,24,,,2.76,2.8,2,1.68,1.64,2.36,2.84,2.4,44,45,25,17,16,34,46,35,,0.200919,-0.107487
SATP_000061,SATP_E05,BIS_3,arb,BIS,24,,,3.2,4,4.04,1.56,1.64,2,1.64,3.2,55,75,76,14,16,25,16,55,,0.428076,0.274889
SATP_000062,SATP_E09,BIS_3,arb,BIS,24,,,4.4,4.4,4.36,1.96,1.64,2.04,1.6,3.2,85,85,84,24,16,26,15,55,,0.549411,0.367817
SATP_000063,SATP_E10,BIS_3,arb,BIS,24,,,3.96,3.96,3.96,2.4,2,2,1.6,2.8,74,74,74,35,25,25,15,45,,0.375772,0.358614
SATP_000064,SATP_E11b,BIS_3,arb,BIS,24,,,1.24,2.84,4.4,3.96,4,1.16,1.24,1.24,6,46,85,74,75,4,6,6,,-0.36196,0.649411
SATP_000065,SATP_E12b,BIS_3,arb,BIS,24,,,2,2.4,4.36,3.56,3.56,1.24,1.28,1.2,25,35,84,64,64,6,7,5,,-0.249411,0.57669
SATP_000066,SATP_HR01,BIS_3,arb,BIS,24,,,2.36,2.36,4.32,4,3.96,1.6,1.64,1.56,34,34,83,75,74,15,16,14,,-0.288701,0.511838
SATP_000067,SATP_KT01,BIS_3,arb,BIS,24,,,1.28,1.24,1.24,1.24,4,4.4,4.4,4.36,7,6,6,6,75,85,85,84,,-0.284594,-0.787071
SATP_000068,SATP_LS06,BIS_3,arb,BIS,24,,,4.48,3.64,4.4,1.56,1.28,1.32,1.28,3.2,87,66,85,14,7,8,7,55,,0.621335,0.372878
SATP_000069,SATP_N1,BIS_3,arb,BIS,24,,,2.84,2.84,2,1.28,1.28,2.84,3.96,3.96,46,46,25,7,7,46,74,74,,0.357782,-0.399203
