dataset_id,partition,n_clips,split_version,mean_ISOPleasant,mean_ISOEventful,mean_annoyance,mean_label_cardinality
ISD,dev,524,0.1.0,0.263873,0.034813,,
ISD,excluded,5,0.1.0,0.405350,-0.359800,,
ISD,test,581,0.1.0,0.240707,0.039145,,
ISD,train,1599,0.1.0,0.254897,0.059972,,
ARAUS,dev,4440,0.1.0,0.029062,-0.000858,,
ARAUS,excluded,6,0.1.0,0.078185,0.434841,,
ARAUS,test,48,0.1.0,-0.129499,0.011915,,
ARAUS,train,17730,0.1.0,0.008624,-0.039164,,
SATP,0,5,0.1.0,-0.108558,0.153620,,
SATP,1,5,0.1.0,-0.109931,0.031288,,
SATP,2,5,0.1.0,-0.016630,-0.002833,,
SATP,3,6,0.1.0,0.026876,0.075542,,
SATP,4,6,0.1.0,0.121516,-0.038745,,
DeLTA,dev,441,0.1.0,,,3.299190,3.061224
DeLTA,test,437,0.1.0,,,3.327373,3.029748
DeLTA,train,2012,0.1.0,,,3.361511,3.091948
