task_id,dataset_id,feature_set,model_id,target,n_train,n_eval,cohort_id,rmse,rmse_ci_low,rmse_ci_high,mae,r2,pearson_r,spearman_rho,n_clusters
isd_individual_iso_prediction,ISD,shared6_cohort_only,isd_response_target_mean_shared6,ISOEventful,1324,279,isd_individual_iso_prediction__shared6_cohort_only__ntrain1324__neval279,0.338301,0.309317,0.366608,0.268983,-0.188258,,,184
isd_individual_iso_prediction,ISD,shared6_cohort_only,isd_response_target_mean_shared6,ISOPleasant,1324,279,isd_individual_iso_prediction__shared6_cohort_only__ntrain1324__neval279,0.310280,0.289994,0.331935,0.260111,-0.000118,,,184
isd_individual_iso_prediction,ISD,tong_style_reduced,tong_style_reduced_gpr,ISOEventful,1324,279,isd_individual_iso_prediction__tong_style_reduced__ntrain1324__neval279,0.374377,0.342754,0.403033,0.305288,-0.455200,-0.104726,-0.180794,184
isd_individual_iso_prediction,ISD,tong_style_reduced,tong_style_reduced_gpr,ISOPleasant,1324,279,isd_individual_iso_prediction__tong_style_reduced__ntrain1324__neval279,0.330219,0.306206,0.353676,0.271920,-0.132784,0.065638,0.039904,184
isd_individual_iso_prediction,ISD,tong_style_reduced,tong_style_reduced_lr,ISOEventful,1324,279,isd_individual_iso_prediction__tong_style_reduced__ntrain1324__neval279,0.350273,0.315191,0.382927,0.278348,-0.273849,0.064000,0.095760,184
isd_individual_iso_prediction,ISD,tong_style_reduced,tong_style_reduced_lr,ISOPleasant,1324,279,isd_individual_iso_prediction__tong_style_reduced__ntrain1324__neval279,0.300727,0.276716,0.325094,0.246846,0.060521,0.294653,0.317534,184
isd_individual_iso_prediction,ISD,tong_style_reduced,tong_style_reduced_rf,ISOEventful,1324,279,isd_individual_iso_prediction__tong_style_reduced__ntrain1324__neval279,0.320307,0.292008,0.349252,0.254022,-0.065218,0.262400,0.201259,184
isd_individual_iso_prediction,ISD,tong_style_reduced,tong_style_reduced_rf,ISOPleasant,1324,279,isd_individual_iso_prediction__tong_style_reduced__ntrain1324__neval279,0.357229,0.330726,0.384039,0.297121,-0.325674,-0.020047,-0.040453,184
isd_individual_iso_prediction,ISD,tong_style_reduced,tong_style_reduced_xgboost,ISOEventful,1324,279,isd_individual_iso_prediction__tong_style_reduced__ntrain1324__neval279,0.319332,0.288979,0.347695,0.251718,-0.058740,0.278967,0.217301,184
isd_individual_iso_prediction,ISD,tong_style_reduced,tong_style_reduced_xgboost,ISOPleasant,1324,279,isd_individual_iso_prediction__tong_style_reduced__ntrain1324__neval279,0.342852,0.319737,0.366904,0.286706,-0.221116,0.009498,-0.027133,184
