task_id,reference_model,candidate_model,target,metric,reference_value,candidate_value,improvement,ci_low,ci_high,standard_error,probability_improvement_gt_zero,confidence_level,n_resamples,n_valid,n_eval,n_clusters,bootstrap_unit,direction_normalized
delta_annoyance,delta_annoyance_target_mean,delta_annoyance_from_observed_sources_rf,mean_annoyance,mae,1.124421,1.022267,0.102154,0.043195,0.163394,0.030524,1.000000,0.950000,2000,2000,437,437,clip_id,True
delta_annoyance,delta_annoyance_target_mean,delta_annoyance_from_observed_sources_rf,mean_annoyance,r2,-0.000638,0.146305,0.146943,0.057165,0.225594,0.042648,1.000000,0.950000,2000,2000,437,437,clip_id,True
delta_annoyance,delta_annoyance_target_mean,delta_annoyance_from_observed_sources_rf,mean_annoyance,rmse,1.351583,1.248405,0.103178,0.037770,0.164773,0.032099,1.000000,0.950000,2000,2000,437,437,clip_id,True
delta_annoyance,delta_annoyance_target_mean,delta_annoyance_from_observed_sources_ridge,mean_annoyance,mae,1.124421,1.013139,0.111282,0.059877,0.164169,0.026922,1.000000,0.950000,2000,2000,437,437,clip_id,True
delta_annoyance,delta_annoyance_target_mean,delta_annoyance_from_observed_sources_ridge,mean_annoyance,r2,-0.000638,0.150291,0.150929,0.081471,0.217911,0.035961,1.000000,0.950000,2000,2000,437,437,clip_id,True
delta_annoyance,delta_annoyance_target_mean,delta_annoyance_from_observed_sources_ridge,mean_annoyance,rmse,1.351583,1.245487,0.106095,0.054356,0.159552,0.027238,1.000000,0.950000,2000,2000,437,437,clip_id,True
delta_source_multilabel,delta_source_label_prevalence,delta_source_from_observed_annoyance_logistic,__all__,macro_average_precision,0.126240,0.161474,0.035234,0.033424,0.053957,0.005241,1.000000,0.950000,2000,2000,437,437,clip_id,True
delta_source_multilabel,delta_source_label_prevalence,delta_source_from_observed_annoyance_logistic,__all__,macro_f1,0.197296,0.209946,0.012651,0.001726,0.023109,0.005457,0.989500,0.950000,2000,2000,437,437,clip_id,True
delta_source_multilabel,delta_source_label_prevalence,delta_source_from_observed_annoyance_logistic,__all__,micro_average_precision,0.427980,0.159429,-0.268551,-0.294425,-0.243525,0.013113,0.000000,0.950000,2000,2000,437,437,clip_id,True
delta_source_multilabel,delta_source_label_prevalence,delta_source_from_observed_annoyance_logistic,__all__,micro_f1,0.224179,0.296343,0.072164,0.062407,0.081715,0.005002,1.000000,0.950000,2000,2000,437,437,clip_id,True
isd_individual_iso_prediction,isd_response_target_mean_shared6,tong_style_reduced_gpr,ISOEventful,mae,0.268983,0.305288,-0.036304,-0.051763,-0.021425,0.007712,0.000000,0.950000,2000,2000,279,184,clip_id,True
isd_individual_iso_prediction,isd_response_target_mean_shared6,tong_style_reduced_gpr,ISOEventful,r2,-0.188258,-0.455200,-0.266942,-0.414663,-0.146318,0.068962,0.000000,0.950000,2000,2000,279,184,clip_id,True
isd_individual_iso_prediction,isd_response_target_mean_shared6,tong_style_reduced_gpr,ISOEventful,rmse,0.338301,0.374377,-0.036076,-0.052920,-0.020507,0.008355,0.000000,0.950000,2000,2000,279,184,clip_id,True
isd_individual_iso_prediction,isd_response_target_mean_shared6,tong_style_reduced_gpr,ISOPleasant,mae,0.260111,0.271920,-0.011809,-0.025637,0.001249,0.006900,0.039000,0.950000,2000,2000,279,184,clip_id,True
isd_individual_iso_prediction,isd_response_target_mean_shared6,tong_style_reduced_gpr,ISOPleasant,r2,-0.000118,-0.132784,-0.132666,-0.231339,-0.048070,0.046295,0.000500,0.950000,2000,2000,279,184,clip_id,True
isd_individual_iso_prediction,isd_response_target_mean_shared6,tong_style_reduced_gpr,ISOPleasant,rmse,0.310280,0.330219,-0.019939,-0.033220,-0.007281,0.006588,0.000500,0.950000,2000,2000,279,184,clip_id,True
isd_individual_iso_prediction,isd_response_target_mean_shared6,tong_style_reduced_lr,ISOEventful,mae,0.268983,0.278348,-0.009365,-0.029919,0.011119,0.010595,0.184000,0.950000,2000,2000,279,184,clip_id,True
isd_individual_iso_prediction,isd_response_target_mean_shared6,tong_style_reduced_lr,ISOEventful,r2,-0.188258,-0.273849,-0.085591,-0.283389,0.084977,0.096356,0.176500,0.950000,2000,2000,279,184,clip_id,True
isd_individual_iso_prediction,isd_response_target_mean_shared6,tong_style_reduced_lr,ISOEventful,rmse,0.338301,0.350273,-0.011972,-0.037600,0.012725,0.012999,0.176500,0.950000,2000,2000,279,184,clip_id,True
isd_individual_iso_prediction,isd_response_target_mean_shared6,tong_style_reduced_lr,ISOPleasant,mae,0.260111,0.246846,0.013265,-0.002012,0.028432,0.007641,0.958000,0.950000,2000,2000,279,184,clip_id,True
isd_individual_iso_prediction,isd_response_target_mean_shared6,tong_style_reduced_lr,ISOPleasant,r2,-0.000118,0.060521,0.060639,-0.053266,0.164321,0.053782,0.869000,0.950000,2000,2000,279,184,clip_id,True
isd_individual_iso_prediction,isd_response_target_mean_shared6,tong_style_reduced_lr,ISOPleasant,rmse,0.310280,0.300727,0.009553,-0.007961,0.027195,0.008629,0.869000,0.950000,2000,2000,279,184,clip_id,True
isd_individual_iso_prediction,isd_response_target_mean_shared6,tong_style_reduced_rf,ISOEventful,mae,0.268983,0.254022,0.014961,-0.003482,0.032562,0.009402,0.938000,0.950000,2000,2000,279,184,clip_id,True
